Name,Address,Phone,Website,Operating_Hours,Dinner_cost,Lunch_cost,Rating,Reviews
Asakusaasatora,1-chome-8-11 Hanakawado Taito City Tokyo,050-5890-4373,https://tabelog.com/en/tokyo/A1311/A131102/13259649/,12:00〜14:00 17:00～24:00,"￥4,000～￥4,999","￥1,000～￥1,999",3.05,4
Takumi,1-chome-1-14 Tomioka Koto City Tokyo-to,050-5597-3406,https://tabelog.com/en/tokyo/A1313/A131303/13008018/,[火～金] 18:00～24:00（L.O.23:30）[土・日]17:00～23:00（L.O.22:30）,"￥6,000～￥7,999",-,3.53,43
sangendyayasushikantera,2-chome-15-14 Sangenjaya Setagaya City Tokyo-to,050-5597-7720,https://tabelog.com/en/tokyo/A1317/A131706/13229769/,ディナー17:00〜23:00 最終入店21時半,"￥10,000～￥14,999","￥4,000～￥4,999",3.22,33
Nihombashisushitetsu,3-chome-3-12 Nihonbashi Chuo City Tokyo-to,050-5597-4949,https://tabelog.com/en/tokyo/A1302/A130201/13006490/,[月～金]11:30～14:00、17:00～22:00(L.O.21:30)[土]17:00～21:00(L.O.20:30　ご予約のお客様のみ),"￥6,000～￥7,999","￥1,000～￥1,999",3.27,20
Tsukijiaozorasandaime,3-chome-2-3 Marunouchi Chiyoda City Tokyo-to,050-5596-4014,https://tabelog.com/en/tokyo/A1301/A130102/13226297/,◆店舗営業時間[月~土]11:30～14:30 (L.O)   17:30～21:30 (L.O)［日曜］定休日緊急事態宣言中は休業致します。,"￥8,000～￥9,999","￥3,000～￥3,999",3.59,49
sushibaruumigura,5-1 Toyomicho Chuo City Tokyo-to,050-5869-9255,https://tabelog.com/en/tokyo/A1313/A131302/13213557/,・ランチタイム　11:00～14:00(LO13:30) ・ディナータイム　17:00～22:00(LO21:30)・蔓延防止重点措置区域の為、要請期間中は時短営業となります。　17:00〜20:00(LOドリンク19:00、フード19:30),"￥3,000～￥3,999",～￥999,3.04,2
Isakanayamiyoshi,Konan Minato City Tokyo,050-5869-7656,https://tabelog.com/en/tokyo/A1314/A131403/13032668/,11:30～14:0017:00～22:00(L.O.21:30)コロナ自粛期間中のみの、営業時間になります。※土曜日はランチの営業は行っておりません。ご要望のある方はお昼のご宴会も承っておりますので、お問い合わせください。,"￥3,000～￥3,999",～￥999,3.29,39
Hamashigezushi,4-chome-9-5 Tsukiji Chuo City Tokyo-to,050-5597-6386,https://tabelog.com/en/tokyo/A1313/A131301/13014828/,火～金ランチ 11:00～14:30ディナー 17:00～22:00（L.O.21:30）土・日・祝日ディナー　17:00～20:00（L.O.19:30）,"￥5,000～￥5,999","￥1,000～￥1,999",3.28,29
Uoshun,4-chome-24-7 Taito Taito City Tokyo-to,050-5594-5618,https://tabelog.com/en/tokyo/A1311/A131101/13152018/,通常時[火曜日～金曜日]１７：００～２3：００通常時[土曜、日曜]]１５：００～２３：００６月２１日より営業を再開させていただきます。設備工事のため7月8日は、お休みをいただきます。東京都の時短要請に従い営業させていただきます。お電話にてご確認お願い致します。,"￥4,000～￥4,999",-,3.5,40
Sushikatsu,1-chome-2-4 Nishikicho Tachikawa Tokyo-to,050-5869-4894,https://tabelog.com/en/tokyo/A1329/A132901/13094425/,[月・火・木・金・土]11:30～14:00 17:00～22:00[日・祝]11:30～14:00  16:00～21:00,"￥5,000～￥5,999",～￥999,3.35,24
Monzennakachounikuzushi,1-chome-4-3 Tomioka Koto City Tokyo-to,050-5594-8738,https://tabelog.com/en/tokyo/A1313/A131303/13190484/,[日～木、土、祝日]17:00～翌1:00（L.O.24:00、ドリンクL.O.24:30）[金]17:00～翌4:00（L.O.3:00、ドリンクL.O.3:30）～5/31まで休業,"￥3,000～￥3,999",-,3.26,48
Sukiaji,7-chome-50-6 Nishikamata Ota City Tokyo-to,050-5594-1453,https://tabelog.com/en/tokyo/A1315/A131503/13177977/,まん延防止等重点措置につき17:00～19:00(L.O)20:00閉店,"￥4,000～￥4,999",-,3.16,8
Sushikotake,1-chome-5-4 Momoi Suginami City Tokyo-to,050-5456-5079,https://tabelog.com/en/tokyo/A1319/A131906/13242551/,11:30~14:0017:00~23:00,"￥10,000～￥14,999","￥5,000～￥5,999",3.05,2
Tsukijisushiiwa,2-chome-15-12 Tsukiji Chuo City Tokyo-to,050-5571-7674,https://tabelog.com/en/tokyo/A1313/A131301/13014802/,月～金 11:00～22:00(L.O.21:30)土日祝 11:00～21:00(L.O.20:30),"￥15,000～￥19,999","￥4,000～￥4,999",3.25,21
Sushifurukawa,Nishiazabu Minato City Tokyo,050-5571-4448,https://tabelog.com/en/tokyo/A1307/A130701/13049766/,◆営業時間変更のお知らせ◆ 緊急事態宣言の要請に伴いまして、 7/12（月）から8/22（日）まで臨時休業とさせて頂きます。 ご不便かと存じますが、ご理解ご協力の程宜しくお願い申し上げます。,"￥15,000～￥19,999","￥10,000～￥14,999",3.35,36
Sukijisushikoujin,1-chome-12-32 Akasaka Minato City Tokyo-to,050-5595-6128,https://tabelog.com/en/tokyo/A1307/A130701/13131704/,※東京都の要請により営業時間が変更になる場合があります。【月～金】11:30～20:00(L.O19：30)*ランチメニューは１１：３０～１４：００【土曜日】11:30～20:00(L.O19：30)【日・祝】11:30～20:00(L.O19：30)飲酒ラストオーダーは、夜19時00分料理ラストオーダーは、夜19時30分,"￥10,000～￥14,999","￥3,000～￥3,999",3.49,26
Sushinoisomatsu,Konan Minato City Tokyo,050-5872-6395,https://tabelog.com/en/tokyo/A1314/A131403/13120130/,【ランチ】11:00～14:30(14:00L.O)※平日はランチタイムの御予約を承っておりません。何卒ご了承くださいませ。【ディナー 】17:00～23:00(22:00L.O),"￥5,000～￥5,999","￥1,000～￥1,999",3.55,89
Ichirin,Shinjuku Shinjuku City Tokyo,050-5890-7990,https://tabelog.com/en/tokyo/A1304/A130401/13026191/,平日17:00～20:00土日17:00～20:00※当日のご予約はお電話にてお問い合わせくださいませ。※当日コースのご用意もございます。,"￥6,000～￥7,999",-,3.57,146
Sushihanaoka,7-2 Sakuragaokacho Shibuya City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1303/A130301/13219266/,[ランチ　水曜、土曜、日曜、祝日]12:00〜14:00（閉店）[ディナー　月、火、水、金]17:00〜20:00[ディナー　土、日、祝日]17:00〜21:00,"￥10,000～￥14,999","￥5,000～￥5,999",3.33,48
Kuroshiokaikou,2-chome-10-1 Shinbashi Minato City Tokyo,050-5890-4428,https://tabelog.com/en/tokyo/A1301/A130103/13259651/,6/9オープンとなります。蔓延防止措置、緊急事態宣言の発令に伴い時短営業させて頂きます。営業時間11：30～20：00　酒類の提供は終日致しません。ランチ11:30~15:00ディナー16:00~24:00,"￥5,000～￥5,999","￥1,000～￥1,999",3.0,0
wagazushi,2-chome-4-10 Mita Meguro City Tokyo-to,050-5456-0505,https://tabelog.com/en/tokyo/A1316/A131601/13136220/,18:00～23：00（L.O22：30）,"￥10,000～￥14,999",-,3.08,7
Sushimatsuzaki,Roppongi Minato City Tokyo,050-5872-3761,https://tabelog.com/en/tokyo/A1307/A130701/13254304/,[月～日]12：00～15：00（ 前日までのご予約になります。）18：00～20：00,"￥20,000～￥29,999","￥15,000～￥19,999",3.01,1
Sanichiichizeroenuzettobaierudhieichikicchin,1-chome-18-7 Aobadai Meguro City Tokyo-to,050-5597-9622,https://tabelog.com/en/tokyo/A1317/A131701/13248691/,11:00～17:00(NANZUKA)、18:00～23:00(鮨さいとう),"￥30,000～￥39,999",-,3.33,17
Sushiriku,4-chome-9-30 Minamiaoyama Minato City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1306/A130603/13198768/,12:00～　※ご予約制：お時間、ご内容、お気軽にご相談ください。18:00～24:00,"￥20,000～￥29,999",-,3.5,30
nondokoni-marukyu-,2-chome-9-10 Dogenzaka Shibuya City Tokyo-to,050-5594-8386,https://tabelog.com/en/tokyo/A1303/A130301/13215584/,月～金17:00～29:00土15:00〜29:00日・祝15:00～24:00,"￥2,000～￥2,999",-,3.3,39
Sushidokorokintarou,4-chome-6-8 Haramachida Machida Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1327/A132701/13170495/,新型コロナウイルス感染症（COVID-19）の感染拡大防止のため、東京都のまん延防止等重点措置に従い当店では営業時間を夜20までの短縮営業とさせて頂きます。昼　12：00～13：30夜　18：00～（お客様の状況により営業時間が変更となります。）※ランチの時間帯はクレジットカードをご利用いただけません。※4/1よりディナーの時間帯はコースメニューのみのご注文となります。,"￥15,000～￥19,999","￥3,000～￥3,999",3.46,39
sushigotoku,12-8 Kamiyamacho Shibuya City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1303/A130301/13043203/,※要予約18:00～23:00＊7/26(月) 〜 緊急事態宣言が終わるまで 全面休業いたします＊,"￥15,000～￥19,999",-,3.36,17
Tukijishutokuganso,4-chome-14-16 Tsukiji Chuo City Tokyo-to,050-5869-2824,https://tabelog.com/en/tokyo/A1313/A131301/13139593/,11：00〜15：00（L.O.14:30)17：00〜22：30  (L.O.21:30),"￥8,000～￥9,999","￥5,000～￥5,999",3.63,93
Sushidokoroyukari,2-chome-20-11 Kabukicho Shinjuku City Tokyo-to,050-5597-5102,https://tabelog.com/en/tokyo/A1304/A130401/13234342/,※2019年9月2日より、下記営業時間に変更となります。[月～金]11:00～15:00（L.O.14:30）17:30～翌4:30（L.O.翌4:00）[土・日]17:00～24:00（L.O.23:30）[祝]11:00～15:00（L.O.14:30）17:00～24:00（L.O.23:30）,"￥6,000～￥7,999","￥3,000～￥3,999",3.06,4
Zourokuyuuzan,Roppongi Minato City Tokyo,050-5869-5900,https://tabelog.com/en/tokyo/A1307/A130701/13139640/,【月～金・祝前日】18:00〜23:00最終入店21:00【土】18:00～22:00最終入店19:30※少ない席数で営業しておりますため、当日のキャンセルは一席につき、お任せ代金¥25000をお支払いいただきます。ご注意くださいませ。,"￥20,000～￥29,999",-,3.83,78
Edomaebikkurizushi,1-chome-8-18 Jiyugaoka Meguro City Tokyo-to,050-5594-7175,https://tabelog.com/en/tokyo/A1317/A131703/13017695/,17:00～翌4:00※[日・連休最終日のみ]17:00～23:00,"￥3,000～￥3,999",-,3.08,33
Sushihayakawa,2-chome-2-2 Ebisuminami Shibuya City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1303/A130302/13155020/,17:00〜20:00(18:00最終入店)土日ランチ営業12:00〜14:00(12:30最終入店)前々日までの完全予約制,"￥20,000～￥29,999","￥8,000～￥9,999",3.31,33
Sushinakao,2-chome-36-21 Daizawa Setagaya City Tokyo-to,050-5597-8958,https://tabelog.com/en/tokyo/A1318/A131801/13243481/,[夜]　(月・火・木・金・土・日)◎8/22(日)まで17:00～20:00閉店[昼]　前日予約のみ　◎(土日のご予約は金曜日までにご予約お願い致します)◎12:00～13:30閉店,"￥20,000～￥29,999","￥4,000～￥4,999",3.0,1
Mawarusushizammai,1-chome-5-30 Kiba Koto City Tokyo-to,050-5593-9049,https://tabelog.com/en/tokyo/A1313/A131303/13041628/,10：00～22：00,"￥3,000～￥3,999","￥1,000～￥1,999",3.04,31
ikinasushidokoroabe,5-chome-19-17 Hiroo Shibuya City Tokyo-to,050-5457-0473,https://tabelog.com/en/tokyo/A1307/A130703/13009345/,[月～金] 11:30～14:00(L.O) 17:30～翌3:00(L.O)[土・日・祝] 11:30～14:00(L.O) 17:00～翌3:00(L.O),"￥8,000～￥9,999","￥1,000～￥1,999",3.58,165
Nakayazushi,3-chome-7-6 Iidabashi Chiyoda City Tokyo-to,050-5571-6420,https://tabelog.com/en/tokyo/A1309/A130905/13032546/,［月～金］16:00～20:00※当面の間、16:00〜20:00までの営業とさせていただきます。［土］16:00～20:00※当面の間、16:00〜20:00までの営業とさせていただきます。,"￥10,000～￥14,999",-,3.25,14
Sushikappoutokimeki,Roppongi Minato City Tokyo,050-5595-0560,https://tabelog.com/en/tokyo/A1307/A130701/13053256/,18:00～01:00(L.O.),"￥15,000～￥19,999",-,3.08,8
Sushirizaki,4-chome-2-6 Minamiaoyama Minato City Tokyo,050-5869-9835,https://tabelog.com/en/tokyo/A1307/A130701/13253572/,2部制となります（2時間半制）【第1部】18:00～20:30【第2部】20:30～23:00,"￥10,000～￥14,999",-,3.14,14
Sushifukumoto,5-chome-17-6 Daizawa Setagaya City Tokyo-to,050-5596-2216,https://tabelog.com/en/tokyo/A1318/A131802/13019424/,2021年3月21日更新16:00〜21:00,"￥15,000～￥19,999",-,3.64,61
Sushitsubomi,1-chome-21-26 Higashiyama Meguro City Tokyo-to,050-5595-6314,https://tabelog.com/en/tokyo/A1317/A131701/13221782/,毎月1日に翌月末までのご予約を受付開始しております1日が水曜日の場合は翌日から受付1部　18:00〜2部　20:30～,"￥20,000～￥29,999",-,3.88,114
Yoshizushi,6-chome-7-8 Ueno Taito City Tokyo-to,050-5592-9369,https://tabelog.com/en/tokyo/A1311/A131101/13158641/,11:30～20:00（L.O. 酒類18:50  その他19:50）,"￥4,000～￥4,999","￥1,000～￥1,999",3.44,54
kagurazakashintomizushi,4-chome-4-17 Kagurazaka Shinjuku City Tokyo-to,050-5592-2522,https://tabelog.com/en/tokyo/A1309/A130905/13011425/,11:30-13:00 月曜日～金曜日17:00-23:00(L.O.22:30) 月曜日～土曜日,"￥6,000～￥7,999",～￥999,3.55,61
Hachioujifuumi,1-8 Azumacho Hachioji Tokyo-to,050-5595-4814,https://tabelog.com/en/tokyo/A1329/A132904/13205606/,【平日・土・祝・祝前】17:00～20:00(L.O.19:00),"￥4,000～￥4,999",-,3.39,12
oomatsuya,1-chome-6-6 Tomioka Koto City Tokyo-to,050-5868-7100,https://tabelog.com/en/tokyo/A1313/A131303/13251655/,【月〜土】17:00〜23:00,"￥4,000～￥4,999","￥4,000～￥4,999",3.07,4
Kyoudounishioka,1-chome-12-1 Kyodo Setagaya City Tokyo,n/a,https://tabelog.com/en/tokyo/A1318/A131813/13259425/,17:30～22:30,"￥15,000～￥19,999",-,3.03,2
megurosushitaichi,2-chome-11-5 Nakacho Meguro City Tokyo-to,050-5594-9716,https://tabelog.com/en/tokyo/A1317/A131701/13175076/,[月～金] ディナー／17:30～22:00(L.O.21:00) [土・祝]ディナー／17:00～21:00(L.O.20:00),"￥8,000～￥9,999",-,3.08,8
shinjukugyoensushinishi,Shinjuku Shinjuku City Tokyo,050-5596-9528,https://tabelog.com/en/tokyo/A1304/A130402/13230721/,15:00〜22:00,"￥20,000～￥29,999","￥20,000～￥29,999",3.04,2
Kanazawamaimonsushi,1-chome-37-2 Sangenjaya Setagaya City Tokyo-to,050-5597-5212,https://tabelog.com/en/tokyo/A1317/A131706/13235876/,当面の間、下記の通り営業時間が変更になります。11:00～20:00（L.O19:00）※酒類の提供に関しては行政の要請に依り休止しております。予めご了承ください。,"￥3,000～￥3,999","￥1,000～￥1,999",3.13,37
Kikusui,2-chome-6-2 Nihonbashiningyocho Chuo City Tokyo-to,050-5593-9530,https://tabelog.com/en/tokyo/A1302/A130204/13157907/,11：30～13:30    [月～土]  17 : 30〜20: 00  (ラストオーダー19:00)土曜日不定休になります。通常23時閉店ですが、東京都からの要請により20時閉店とさせて頂きます。,"￥5,000～￥5,999",～￥999,3.44,28
Sushiaki,2-chome-7-24 Minamiaoyama Minato City Tokyo,050-5872-5814,https://tabelog.com/en/tokyo/A1306/A130603/13254480/,1部　18:00〜20:00（一斉スタート）2部　20:30〜22:30（一斉スタート）　　（平常時）※緊急事態宣言中、変更等々がございます。お電話にてお問い合わせくださいませ※会員制・紹介制ではありません。,"￥30,000～￥39,999",-,3.04,2
Sushisakamoto,Tokyo Shibuya City Sendagaya 2 Chome−33−８ YKビル2F・3F,050-5597-2680,https://tabelog.com/en/tokyo/A1309/A130901/13233940/,ランチ：11:30～13:00ディナー：18:00～23:00ランチコース要予約。ランチお持ち帰り、ちらし、鉄火丼有,"￥20,000～￥29,999","￥8,000～￥9,999",3.09,13
ishinabenoguchishiroganetei,1-chome-12-11 Kamiosaki Shinagawa City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1316/A131602/13043810/,17:00～20:00酒類のご提供に関しまして、東京都の要請に従い提供させていただいております,"￥8,000～￥9,999",-,3.54,58
Sushidokorohashiri,3-chome-5-7 Ebisuminami Shibuya City Tokyo-to,050-5571-9211,https://tabelog.com/en/tokyo/A1303/A130303/13151687/,17:30〜21:30(L.O),"￥10,000～￥14,999",-,3.08,9
Mikawaya,1-chome-1-14 Higashishinagawa Shinagawa City Tokyo-to,050-5589-4019,https://tabelog.com/en/tokyo/A1314/A131405/13027421/,09:00～21:30,"￥10,000～￥14,999",-,3.23,8
shuutokuhontemmegumi,6-chome-26-7 Tsukiji Chuo City Tokyo-to,050-5595-3041,https://tabelog.com/en/tokyo/A1313/A131301/13219310/,ランチ11：00～15：00（L.O.14：30）ディナー17：00～22：30（L.O.21：30）,"￥10,000～￥14,999","￥4,000～￥4,999",3.41,27
sushizammaiesu,3-chome-5 Kagurazaka Shinjuku City Tokyo,050-5869-9114,https://tabelog.com/en/tokyo/A1309/A130905/13253166/,11時～翌5時,"￥1,000～￥1,999",～￥999,3.18,11
Sushidokoroozawa,8-chome-5-9 Ginza Chuo City Tokyo-to,050-5594-2821,https://tabelog.com/en/tokyo/A1301/A130103/13050431/,17：00～25：00,"￥15,000～￥19,999",-,3.08,6
Sushinishimura,7-chome-12-20 Roppongi Minato City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1307/A130701/13184902/,【月〜土】17:00〜23:30,"￥20,000～￥29,999",-,3.33,13
Tsukijisuzutomisushitomi,6-chome-24-8 Tsukiji Chuo City Tokyo-to,050-5869-6450,https://tabelog.com/en/tokyo/A1313/A131301/13078722/,2021年1月8日より当面の間月〜土　　10時半〜20時(L.O.19:30)（平日ランチ 開店から15時。休憩無しで営業）日・祝　　10時半〜20時(L.O.19:30)（休憩無しで営業）,"￥5,000～￥5,999","￥1,000～￥1,999",3.64,194
Kikuzushi,18-11 Senjunakacho Adachi City Tokyo-to,050-5594-8743,https://tabelog.com/en/tokyo/A1324/A132402/13195690/,【火～日】11：30～翌00：00営業時間変更のお知らせ。まん延防止等重点措置の発令に伴い、6月21日（月曜日）より7月１１日（日曜日）まで、営業時間を１１時半から２０時、酒類提供を１９時までとさせて頂きます。ランチ営業終了後、通し営業となります。,"￥4,000～￥4,999","￥1,000～￥1,999",3.38,24
Sushizammai,3-chome-8-11 Kotobashi Sumida City Tokyo-to,050-5593-9069,https://tabelog.com/en/tokyo/A1312/A131201/13176920/,12:00～23:00,"￥3,000～￥3,999",-,3.05,14
Sushibando,Shinjuku Shinjuku City Tokyo,050-5595-7716,https://tabelog.com/en/tokyo/A1304/A130402/13215532/,12:00～14:00(L.O.13:30)18:00～22:00(L.O.21:30),"￥20,000～￥29,999","￥5,000～￥5,999",3.34,23
Sushizammai,1-chome-27-8 Minamiikebukuro Toshima City Tokyo-to,050-5593-9066,https://tabelog.com/en/tokyo/A1305/A130501/13130111/,11:00～翌6:00,"￥3,000～￥3,999","￥1,000～￥1,999",3.21,104
Mawarusushizammai,4-chome-10-2 Tsukiji Chuo City Tokyo-to,050-5593-9046,https://tabelog.com/en/tokyo/A1313/A131301/13004961/,【月～金】10：00～23：00【土日祝】9：00～23：00,"￥3,000～￥3,999","￥1,000～￥1,999",3.24,115
sushishinagawaaoi,Minamishinagawa Shinagawa City Tokyo,050-5592-6503,https://tabelog.com/en/tokyo/A1315/A131501/13179434/,11:30～14:00(L.O13:30)　ランチ営業は平日のみ18:00～22:00(L.O21:00),"￥10,000～￥14,999","￥1,000～￥1,999",3.49,21
Sushitoku,5-chome-44-15 Kamata Ota City Tokyo-to,050-5872-2932,https://tabelog.com/en/tokyo/A1315/A131503/13099565/,【平日･祝前】ディナー　18:00～22:30(L.O.21:30)【平日】ランチ　11：30～13：30（L.O.13：30）誠に勝手ながら、ネタが無くなり次第終了させていただきます。【土】ディナー　18:00～22:30(L.O.21：30),"￥10,000～￥14,999","￥1,000～￥1,999",3.5,30
Kanaizushi,5-chome-3-5 Higashioi Shinagawa City Tokyo-to,050-5595-7621,https://tabelog.com/en/tokyo/A1315/A131501/13070977/,[月～土]17:30～22:30（L.O.22:00）,"￥6,000～￥7,999",-,3.35,15
SUSHI B GINZA,5-chome-9-6 Ginza Chuo City Tokyo-to,050-5597-2496,https://tabelog.com/en/tokyo/A1301/A130101/13214841/,新型コロナウイルス感染症の拡大防止に向けた、緊急事態宣言の発令に伴い、下記期間にて営業時間の変更及び酒類の販売を中止させて頂きます【期間】7月12日（月）～  8月22日（日）昼：平日 11:30～14:00 完全予約制　夜：17:00～20:00 完全予約制,"￥20,000～￥29,999",-,3.04,2
Sushiyuutsubasa,1-chome-4-17 Ebisuminami Shibuya City Tokyo,n/a,https://tabelog.com/en/tokyo/A1303/A130302/13260600/,【昼】12:00～14:30（土・日・祝日）【夜】18:00～20:00　　　20:30～22:30（閉店）,"￥10,000～￥14,999","￥10,000～￥14,999",3.0,2
Sushiyanoisohana,2-chome-4-5 Hongo Bunkyo City Tokyo,050-5457-5971,https://tabelog.com/en/tokyo/A1310/A131003/13250915/,緊急事態宣言中の為お電話で御確認ください月曜日～日曜日ランチ　　　11：30～14：00（LO13:30）ディナー　　17：00～20：00（LO19:00）,"￥8,000～￥9,999","￥1,000～￥1,999",3.0,0
Sushiyauoshin,2-1-1 Kitazawa Setagaya Tokyo,050-5456-8665,https://tabelog.com/en/tokyo/A1318/A131802/13055268/,[月〜日・祝日］16:00~23:00（L.O 22:30),"￥5,000～￥5,999",-,3.53,80
Sushisuga,3-chome-18-10 Shibuya Shibuya City Tokyo-to,050-5596-9627,https://tabelog.com/en/tokyo/A1303/A130301/13231738/,平日18:00〜23:00（L.O21:30）土日祝18:00～22:00  (L.O21:00),"￥10,000～￥14,999",-,3.04,1
Sushisada,3-chome-5-1 Uchikanda Chiyoda City Tokyo-to,050-5597-9230,https://tabelog.com/en/tokyo/A1310/A131002/13030414/,11：30～13：30（L.O.13：30）17：30～22：00（L.O.21：00）※ランチは、ネタ切れの場合は、早めにcloseあり。,"￥6,000～￥7,999","￥1,000～￥1,999",3.55,133
Isozushi,6-chome-5-1 Toyosu Koto City Tokyo-to,050-5457-0397,https://tabelog.com/en/tokyo/A1313/A131307/13091991/,[月～土]7:00～15:00,-,"￥3,000～￥3,999",3.49,23
Sushizammai,2-chome-2-2 Sugamo Toshima City Tokyo-to,050-5593-9058,https://tabelog.com/en/tokyo/A1323/A132301/13099516/,11：00～23：00,"￥3,000～￥3,999","￥1,000～￥1,999",3.08,54
Sushihan,1-chome-7-5 Kabukicho Shinjuku City Tokyo-to,050-5595-9217,https://tabelog.com/en/tokyo/A1304/A130401/13106267/,6月19日より、通常通り営業致します。《営業時間》　17:00～翌5:00皆様のご来店、心よりお待ち申し上げております。,"￥8,000～￥9,999",-,3.17,15
okinawaryouriuonchu,5-chome-14-4 Ogikubo Suginami City Tokyo-to,050-5593-6760,https://tabelog.com/en/tokyo/A1319/A131906/13205599/,11:30～13:30(しばらくの間、土日のランチ休み)17:30〜20:00(ラストオーダー19::00)時短営業中です,"￥3,000～￥3,999",～￥999,3.08,8
Sushizammai,4-chome-11-9 Tsukiji Chuo City Tokyo-to,050-5869-0588,https://tabelog.com/en/tokyo/A1313/A131301/13002302/,24時間営業※しばらくは8時オープンとなります。,"￥2,000～￥2,999","￥1,000～￥1,999",3.52,559
Nishiazabusushifukuju,4-chome-11-28 Nishiazabu Minato City Tokyo-to,050-5456-6577,https://tabelog.com/en/tokyo/A1307/A130703/13243706/,通常営業時間16:00～24:00(L.O23:00)緊急事態宣言中12:00～20:00(L.O19:00),"￥15,000～￥19,999","￥8,000～￥9,999",3.09,25
Sushikokoro,3-chome-6-3 Kagurazaka Shinjuku City Tokyo-to,050-5592-6493,https://tabelog.com/en/tokyo/A1309/A130905/13159159/,17:30～22:30（L.O.22:30)ご予約は下記時間帯にて受け付けております。18:00、18:30、20:00、20:30,"￥30,000～￥39,999",-,3.6,16
sushirizaki,8-2 Kamiyamacho Shibuya City Tokyo-to,050-5597-5139,https://tabelog.com/en/tokyo/A1303/A130301/13235258/,２部制となります（２時間半制）【第１部】18:00~20:30【第2部】20:30~23:00,"￥15,000～￥19,999",-,3.89,101
Sushiyatsukada,4-chome-5-3 Minamisenju Arakawa City Tokyo-to,050-5868-2115,https://tabelog.com/en/tokyo/A1324/A132401/13249525/,時短営業の要請を受け21時までの営業とさせていただきます。17:00〜21:00,"￥3,000～￥3,999",-,3.1,7
Yu,Roppongi Minato City Tokyo,050-5593-6605,https://tabelog.com/en/tokyo/A1307/A130701/13201640/,■7/27～下記の通り、通常営業いたします。【昼】12:00～14:00【夜】17:30～22:30（2部制となります）,"￥20,000～￥29,999","￥15,000～￥19,999",3.97,252
Jin,3 Chome-1 Kyobashi Chuo City Tokyo,050-5872-4699,https://tabelog.com/en/tokyo/A1302/A130201/13155005/,【月曜～金曜】ランチ　  11:30～14:00（L.O.13:30）ディナー 17:30～22:00（L.O.21:30）【土曜】17:30～22:00（L.O.21:30）【定休日 … 日・祝日】（貸切予約の対応あり）,"￥15,000～￥19,999","￥3,000～￥3,999",3.66,39
Kurosawa,6-chome-38-7 Higashinippori Arakawa City Tokyo-to,050-5592-6479,https://tabelog.com/en/tokyo/A1311/A131105/13125649/,[月、火、木、金、土]11:30～14:0017:00～22:30[日]12:00-21:00,"￥5,000～￥5,999",～￥999,3.38,27
Tsuribunediyazauo,3-chome-3-2-9 Nishishinjuku Shinjuku City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1304/A130401/13006709/,2021年5月12日まで、時短営業の要請を受け営業時間を全日11：30～20：00閉店とさせて頂きます。[月～金]11:30～14:30(L.O.14:00)17:00～22:00(L.O.22:00)[土・日・祝]11:30～14:30(L.O.14:00)16:00～22:00(L.O.22:00)※平日ランチタイムの魚釣りは13時からのご案内です。ご了承ください,"￥4,000～￥4,999",～￥999,3.28,194
azabujuubanhatanoyoshiki,2 Chome-8 Azabujuban Minato City Tokyo,n/a,https://tabelog.com/en/tokyo/A1307/A130702/13158874/,※2部制①18時〜20時②20時30分〜22時30分一斉スタートになります。お時間にゆとりを持っておこしください。10分前にお席にご案内させて頂きます。,"￥30,000～￥39,999",-,3.63,33
Nihonryouriuokyuu,1-chome-1-20 Nihonbashiningyocho Chuo City Tokyo-to,050-5592-6459,https://tabelog.com/en/tokyo/A1302/A130204/13018133/,[月～金]ランチ　11:00～14:00（L.O.13:30）ディナー　17:00～22:00・会席コース[花] [月] [雪]・しゃぶしゃぶコース （L.O.20:30）・単品、寿司（L.O.21:00）・ドリンク（L.O.21:30）【緊急事態宣言の発出によるディナー休業のお知らせ】ディナーは4/26以降の新規ご予約を中止し、当面の間は休業。ランチは通常通り営業いたします。,"￥8,000～￥9,999","￥1,000～￥1,999",3.14,38
Taira,5-chome-11-3 Shirokanedai Minato City Tokyo-to,050-5868-9738,https://tabelog.com/en/tokyo/A1316/A131602/13153414/,［昼］12：00～14：00［夜］18：00～22：00,"￥20,000～￥29,999","￥8,000～￥9,999",3.64,58
Sushikikuchi,20-15 Shinsencho Shibuya City Tokyo-to,050-5589-7835,https://tabelog.com/en/tokyo/A1303/A130301/13003400/,【通常】[月～金]18:00～22:30(閉店)[土・祝]17:00～22:00(閉店)-------------東京都の要請を受け1月8日（金）～2月7日（日）の期間、下記の日程で営業致します。月～木曜日：休業金曜日:17時〜20時土/日曜日：16時～20時,"￥10,000～￥14,999",-,3.32,26
Sushiyanoyasuke,1-chome-5-11 Ōji Kita City Tokyo-to,050-5872-2908,https://tabelog.com/en/tokyo/A1323/A132303/13061301/,10:00〜19:30,"￥1,000～￥1,999",～￥999,3.47,57
